,ph,Turbidity,pH_Type,Turbidity_Type,Potability
1,3.716080075,4.500656275,0,1,0
2,8.099124189,3.05593375,1,1,1
3,8.316765884,4.628770537,1,1,1
4,9.092223456000001,4.075075425,1,1,0
5,5.584086638,2.5597082280000003,0,1,0
6,10.22386216,2.672988737,1,1,0
7,8.635848719,4.401424715,1,1,0
9,11.18028447,4.370561937,1,1,0
10,7.360640106,3.662291783,1,1,1
11,7.974521649,4.011718108,1,1,1
12,7.119824384,3.445756223,1,1,1
14,7.4962322079999995,4.777382337,1,1,1
15,6.347271761,4.376348291,0,1,0
16,7.051785799999999,4.268428858,1,1,1
17,9.181560007,4.503660796,1,1,0
18,8.975464348,2.43608559,1,1,0
19,7.371050302,2.560299148,1,1,1
21,6.660212026,3.7497012410000004,0,1,1
23,3.9024756860000003,4.5285226960000005,0,1,0
24,5.4003017810000005,4.82478639,0,1,0
25,6.514415092999999,5.200885077,0,0,1
26,3.445061864,4.184396969,0,1,0
30,7.181448581000001,5.0888599889999995,1,0,1
31,9.825489908,2.857472426,1,1,0
32,10.43329098,5.0573105169999995,1,0,0
33,7.414148196,3.160624468,1,1,1
35,5.115817064,3.902088768,0,1,0
36,3.641629777,3.464353035,0,1,0
37,5.618064406,2.8965469410000004,0,1,0
39,9.267187531,4.324004646000001,1,1,0
41,5.331940479,4.434820258,0,1,0
42,7.145771545,5.182590704,1,0,1
43,9.920691059,4.69070723,1,1,0
44,4.758439425,4.542801462,0,1,0
45,5.7029259770000005,4.137739016,0,1,0
46,6.953864226,3.195710328,0,1,1
47,10.68296643,3.9997753819999997,1,1,0
49,8.757257397,3.626135442,1,1,0
51,7.809631897999999,2.447444464,1,1,1
52,6.652488091,3.7420904260000003,0,1,1
53,9.147197055,3.794531591,1,1,0
54,10.56074464,3.96468635,1,1,0
55,7.484254837999999,4.781188177,1,1,1
56,8.520806573,3.94060453,1,1,0
57,4.999413811,4.460683932,0,1,0
60,3.906078355,3.902879712,0,1,0
61,6.391353624,3.9237491689999997,0,1,0
63,8.692092013,4.4779602480000005,1,1,0
64,8.085759801,4.068688909,1,1,1
65,6.203977702,5.215689206,0,0,0
66,5.058108869,5.106655774,0,0,0
69,7.261550522,3.636364183,1,1,1
70,7.160467231,3.8848910439999997,1,1,1
71,5.704764776,4.157533407,0,1,0
72,6.217273135,5.325833446,0,0,0
73,8.67993497,3.873470298,1,1,0
75,6.897322141,5.02278363,0,0,1
76,3.514545529,3.762615331,0,1,0
77,3.7225004860000004,3.662837732,0,1,0
78,6.455004797000001,2.293431406,0,1,0
79,7.316804754,3.50837265,1,1,1
80,1.8445383659999999,5.013463351,0,0,0
81,5.519125656,3.75899586,0,1,0
82,7.408985467000001,3.7724209280000003,1,1,1
83,5.976769618,2.9946710960000003,0,1,0
84,6.395359132,4.191217515,0,1,0
85,6.20964226,3.612519615,0,1,0
86,6.762832522,4.9165791610000005,0,1,1
87,9.918717063999999,3.3855084439999996,1,1,0
88,10.15544017,5.00246726,1,0,0
89,8.721726711,2.555026904,1,1,0
92,6.099646705,3.172789769,0,1,0
93,9.02678772,2.019042018,1,1,0
94,6.953371603,3.651865808,0,1,1
95,6.1408775570000005,5.359460295,0,0,0
96,7.077874007,4.764508265,1,1,1
97,5.488314309,5.066786272,0,0,0
98,7.205559175,3.710053126,1,1,1
99,9.177869866,3.108769988,1,1,0
100,4.270716195,3.763905903,0,1,0
101,7.348844512,4.880875156,1,1,1
102,8.52616987,5.083014142,1,0,0
104,2.612035915,4.76520537,0,1,0
105,8.490571562000001,3.875556805,1,1,1
107,8.858401531,5.525726337999999,1,0,0
108,6.098156521,3.9773623639999998,0,1,0
109,8.419970682,3.9624783139999997,1,1,1
110,9.286155021,5.23998187,1,0,0
111,7.875895135,4.238589203,1,1,1
112,7.7253329079999995,3.724836704,1,1,1
113,3.3880906110000004,2.7986009480000003,0,1,0
114,6.745306715,3.90235259,0,1,1
116,7.183825722999999,4.597165512,1,1,1
117,10.1119767,3.425763242,1,1,0
118,7.397413299,3.14915751,1,1,1
119,7.812804387999999,6.204846358999999,1,0,1
120,6.8774569329999995,3.827650072,0,1,1
123,7.521051679,2.8807853469999998,1,1,1
124,8.550875469,3.772886607,1,1,0
125,10.30847766,3.2850770519999997,1,1,0
127,7.371085073,4.412589537,1,1,1
128,11.18069466,3.809841654,1,1,0
129,6.506487767,3.548775589,0,1,1
130,6.643935775,3.8129529260000004,0,1,1
131,5.03377399,3.244948477,0,1,0
132,6.912607562000001,2.612248953,0,1,1
133,7.9776359910000005,3.5521295,1,1,1
134,6.078335837000001,4.201580906,0,1,0
135,6.242414483999999,4.508705098,0,1,0
136,6.06335479,3.467336915,0,1,0
137,8.129585514,3.362537135,1,1,1
138,9.562405944,3.7627198369999997,1,1,0
139,8.167792632000001,4.289395484,1,1,1
140,8.594416135,3.568991708,1,1,0
142,6.825467901000001,3.027449578,0,1,1
143,7.861177701,4.157656628,1,1,1
144,4.96577356,3.421766849,0,1,0
145,6.207432967999999,3.549298841,0,1,0
147,9.769251006000001,4.636556195,1,1,0
148,9.63066548,4.920091158,1,1,0
149,5.187471605,3.203257896,0,1,0
150,7.633570088,2.927066767,1,1,1
151,5.77119905,4.688959065,0,1,0
