ph,Turbidity
,2.963135381
3.716080075,4.500656275
8.099124189,3.05593375
8.316765884,4.628770537
9.092223456,4.075075425
5.584086638,2.559708228
10.22386216,2.672988737
8.635848719,4.401424715
,3.595017181
11.18028447,4.370561937
7.360640106,3.662291783
7.974521649,4.011718108
7.119824384,3.445756223
,4.413974183
7.496232208,4.777382337
6.347271761,4.376348291
7.0517858,4.268428858
9.181560007,4.503660796
8.975464348,2.43608559
7.371050302,2.560299148
,4.133422644
6.660212026,3.749701241
,5.459250956
3.902475686,4.528522696
5.400301781,4.82478639
6.514415093,5.200885077
3.445061864,4.184396969
,4.004871128
,3.991564248
,6.038184953
7.181448581,5.088859989
9.825489908,2.857472426
10.43329098,5.057310517
7.414148196,3.160624468
,5.029166724
5.115817064,3.902088768
3.641629777,3.464353035
5.618064406,2.896546941
,2.907563915
9.267187531,4.324004646
,3.510004045
5.331940479,4.434820258
7.145771545,5.182590704
9.920691059,4.69070723
4.758439425,4.542801462
5.702925977,4.137739016
6.953864226,3.195710328
10.68296643,3.999775382
,4.405586
8.757257397,3.626135442
,3.048057223
7.809631898,2.447444464
6.652488091,3.742090426
9.147197055,3.794531591
10.56074464,3.96468635
7.484254838,4.781188177
8.520806573,3.94060453
4.999413811,4.460683932
,4.405385706
,4.08990769
3.906078355,3.902879712
6.391353624,3.923749169
,3.855602212
8.692092013,4.477960248
8.085759801,4.068688909
6.203977702,5.215689206
5.058108869,5.106655774
,4.620793452
,3.439740042
7.261550522,3.636364183
7.160467231,3.884891044
5.704764776,4.157533407
6.217273135,5.325833446
8.67993497,3.873470298
,4.655916599
6.897322141,5.02278363
3.514545529,3.762615331
3.722500486,3.662837732
6.455004797,2.293431406
7.316804754,3.50837265
1.844538366,5.013463351
5.519125656,3.75899586
7.408985467,3.772420928
5.976769618,2.994671096
6.395359132,4.191217515
6.20964226,3.612519615
6.762832522,4.916579161
9.918717064,3.385508444
10.15544017,5.00246726
8.721726711,2.555026904
,4.383921814
,3.355164642
6.099646705,3.172789769
9.02678772,2.019042018
6.953371603,3.651865808
6.140877557,5.359460295
7.077874007,4.764508265
5.488314309,5.066786272
7.205559175,3.710053126
9.177869866,3.108769988
4.270716195,3.763905903
7.348844512,4.880875156
8.52616987,5.083014142
,3.995973787
2.612035915,4.76520537
8.490571562,3.875556805
,3.398592587
8.858401531,5.525726338
6.098156521,3.977362364
8.419970682,3.962478314
9.286155021,5.23998187
7.875895135,4.238589203
7.725332908,3.724836704
3.388090611,2.798600948
6.745306715,3.90235259
,5.629015636
7.183825723,4.597165512
10.1119767,3.425763242
7.397413299,3.14915751
7.812804388,6.204846359
6.877456933,3.827650072
,4.664350321
,4.197595209
7.521051679,2.880785347
8.550875469,3.772886607
10.30847766,3.285077052
,5.052736766
7.371085073,4.412589537
11.18069466,3.809841654
6.506487767,3.548775589
6.643935775,3.812952926
5.03377399,3.244948477
6.912607562,2.612248953
7.977635991,3.5521295
6.078335837,4.201580906
6.242414484,4.508705098
6.06335479,3.467336915
8.129585514,3.362537135
9.562405944,3.762719837
8.167792632,4.289395484
8.594416135,3.568991708
,3.679795035
6.825467901,3.027449578
7.861177701,4.157656628
4.96577356,3.421766849
6.207432968,3.549298841
,4.417559791
9.769251006,4.636556195
9.63066548,4.920091158
5.187471605,3.203257896
7.633570088,2.927066767
5.77119905,4.688959065
6.579969329,4.575931872
4.801154368,4.418638132
7.948815718,3.692250861
6.906992172,2.124759352
,4.444350199
,3.463172548
8.461330874,3.771944146
7.726134808,3.720636904
,3.777737414
8.927078148,4.601860959
6.20801554,4.334615732
6.128425635,4.633823862
,2.678910713
7.308048848,3.696119712
,4.353238589
8.640886409,5.263101572
,4.102529482
8.153210075,2.905788134
8.29372011,3.954715283
,3.310858508
,3.706601792
9.489972878,4.219967522
7.830976343,4.588784657
4.430281212,4.384565156
7.240739639,3.556297467
,3.665521764
6.867301322,3.82359504
6.129637015,4.615886181
7.917049443,3.659484625
6.511618075,4.850433708
5.323815584,2.880721846
6.769572869,5.22054027
5.87797404,4.032259504
9.534021716,2.768238928
6.340027628,3.686001324
8.66159243,3.67043101
5.653506135,5.198985504
6.626012184,4.194313129
7.793833573,4.172935335
7.59312765,3.377337638
7.362736502,4.408513182
9.320305445,4.205809732
3.719791644,2.718397734
6.655605026,2.951644715
9.868877881,3.355489791
5.590614436,4.726845017
5.554436511,2.095914087
4.126528715,4.460200984
5.970035657,5.428674072
,4.600927569
8.369154354,3.629749331
6.284248242,3.377132289
11.26782838,4.153347001
9.298018008,3.681324244
7.895469246,4.2369473
7.947485786,3.70085384
10.02615916,4.182277582
6.48819324,4.592073571
5.869736755,4.689315048
,3.659974812
5.30414266,4.165723664
7.533614823,3.462763987
4.077607725,2.758658531
,3.87385335
7.086168401,3.416539753
6.271012171,5.303581361
7.957768344,3.450745892
8.875642278,4.006991559
,4.358298341
6.613709118,3.539771111
7.735705022,2.148611536
9.925041328,4.703803489
9.00258311,4.904837415
5.095766465,4.35219347
8.594677108,4.754072499
7.083779061,3.887680685
7.682872498,3.778606788
,3.313199022
6.419772474,3.095233157
4.443238899,3.268324836
6.978664262,4.766943236
6.623613566,2.915165951
3.664710562,3.316157657
4.814135621,5.190851805
5.779673705,4.656377233
6.937818783,3.724089564
7.436782609,3.727663719
4.723312573,3.917586695
9.380658051,4.034349047
7.810144933,4.033773709
9.436637164,4.41111744
9.406325753,3.097277957
6.321259315,4.501457204
,3.605154199
4.705356496,3.437450134
8.896418988,3.700945733
6.581878202,4.201662864
6.755145902,5.162729749
9.445129838,3.875165247
9.024845037,3.985250506
,2.747312999
6.80011909,3.8549399
7.174135163,3.939895657
7.657991237,2.437296288
8.322986672,4.052135728
5.934279093,5.217895024
9.802720782,2.764633881
6.101955231,3.53559633
4.997770601,3.404632906
4.815766791,4.375223811
6.548020558,3.611860372
13.17540172,4.10692449
6.618010906,4.437695749
7.788054733,3.368757217
5.191834327,3.859800939
5.626339528,1.943318777
